,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
127,Mednogorsk,RU,51.4128,57.595,-1.86,82,0,5.19,clear sky
128,Basoko,CD,1.2391,23.616,83.08,46,49,1.9,scattered clouds
129,Chokurdakh,RU,70.6333,147.9167,-31.31,99,51,7.02,broken clouds
130,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,65,0,18.41,clear sky
131,Kroya,ID,-7.6331,109.2461,77.47,87,100,4.09,overcast clouds
132,Kimbe,PG,-5.5502,150.1429,76.46,92,100,2.66,light rain
133,Padang,ID,-0.9492,100.3543,75.25,87,97,2.89,overcast clouds
134,Sinnamary,GF,5.3833,-52.95,79.02,76,69,10.45,broken clouds
135,Hambantota,LK,6.1241,81.1185,76.57,75,99,15.61,overcast clouds
136,Saldanha,ZA,-33.0117,17.9442,77.05,85,88,3.83,overcast clouds
137,Touros,BR,-5.1989,-35.4608,84.96,62,50,14.38,scattered clouds
138,Khatanga,RU,71.9667,102.5,-34.53,100,42,5.68,scattered clouds
139,Veseloyarsk,RU,51.2836,81.1056,9.14,96,100,7.94,overcast clouds
140,Egvekinot,RU,66.3167,-179.1667,-24.0,87,10,13.35,clear sky
141,Sola,VU,-13.8833,167.55,81.41,76,94,14.45,overcast clouds
142,Aklavik,CA,68.2191,-135.0107,-23.84,100,98,4.72,overcast clouds
143,Tomatlan,MX,19.9333,-105.25,78.37,32,22,2.19,few clouds
144,Ginir,ET,7.1333,40.7,61.83,23,41,3.51,scattered clouds
145,Sibolga,ID,1.7427,98.7792,74.57,88,88,3.27,overcast clouds
146,Ziniare,BF,12.5822,-1.2983,87.84,10,14,9.91,few clouds
147,Huilong,CN,31.8111,121.655,34.93,54,13,7.78,few clouds
148,Dunedin,NZ,-45.8742,170.5036,56.8,81,75,4.0,broken clouds
149,Kropotkin,RU,45.4375,40.5756,36.09,77,98,9.01,overcast clouds
150,Nalut,LY,30.3333,10.85,57.16,21,0,10.38,clear sky
151,Barrow,US,71.2906,-156.7887,-9.38,77,100,19.57,haze
152,Jacksonville,US,30.3322,-81.6556,72.05,34,0,13.8,clear sky
153,Leh,IN,34.1667,77.5833,-4.16,57,39,2.73,scattered clouds
154,Saint Anthony,US,45.0205,-93.218,35.71,90,100,12.66,light rain
155,Palmer,US,42.1584,-72.3287,47.25,50,75,8.05,broken clouds
156,Cap Malheureux,MU,-19.9842,57.6142,79.47,71,87,11.99,overcast clouds
157,Svolvaer,NO,68.2342,14.5683,39.16,56,0,14.97,clear sky
158,Gunjur,GM,13.2019,-16.7339,95.07,17,0,8.05,clear sky
159,Hualmay,PE,-11.0964,-77.6139,75.15,66,54,10.2,broken clouds
160,Naze,JP,28.3667,129.4833,56.32,72,74,12.95,broken clouds
161,Klaksvik,FO,62.2266,-6.589,36.52,73,99,37.51,light rain
